Designator,Mid X,Mid Y,Rotation,Layer
D1,70.485,-94.45625,90.0,bottom
D10,146.685,-113.50625,90.0,bottom
D11,70.485,-132.55625,90.0,bottom
D12,89.535,-132.55625,90.0,bottom
D13,108.585,-132.55625,90.0,bottom
D14,127.635,-132.55625,90.0,bottom
D15,146.685,-132.55625,90.0,bottom
D16,70.485,-151.60625,90.0,bottom
D17,89.535,-151.60625,90.0,bottom
D18,108.585,-151.60625,90.0,bottom
D19,127.635,-151.60625,90.0,bottom
D2,89.535,-94.45625,90.0,bottom
D20,146.685,-151.60625,90.0,bottom
D21,70.485,-170.65625,90.0,bottom
D22,89.535,-170.65625,90.0,bottom
D23,108.585,-170.65625,90.0,bottom
D24,127.635,-170.65625,90.0,bottom
D25,146.685,-170.65625,90.0,bottom
D3,108.585,-94.45625,90.0,bottom
D4,127.635,-94.45625,90.0,bottom
D5,146.685,-94.45625,90.0,bottom
D6,70.485,-113.50625,90.0,bottom
D7,89.535,-113.50625,90.0,bottom
D8,108.585,-113.50625,90.0,bottom
D9,127.635,-113.50625,90.0,bottom
S1,60.96,-93.24375,0.0,top
S10,137.16,-112.29375,0.0,top
S11,60.96,-131.34375,0.0,top
S12,80.01,-131.34375,0.0,top
S13,99.06,-131.34375,0.0,top
S14,118.11,-131.34375,0.0,top
S15,137.16,-131.34375,0.0,top
S16,60.96,-150.39375,0.0,top
S17,80.01,-150.39375,0.0,top
S18,99.06,-150.39375,0.0,top
S19,118.11,-150.39375,0.0,top
S2,80.01,-93.24375,0.0,top
S20,137.16,-150.39375,0.0,top
S21,60.96,-169.44375,0.0,top
S22,80.01,-169.44375,0.0,top
S23,99.06,-169.44375,0.0,top
S24,118.11,-169.44375,0.0,top
S25,137.16,-169.44375,0.0,top
S3,99.06,-93.24375,0.0,top
S4,118.11,-93.24375,0.0,top
S5,137.16,-93.24375,0.0,top
S6,60.96,-112.29375,0.0,top
S7,80.01,-112.29375,0.0,top
S8,99.06,-112.29375,0.0,top
S9,118.11,-112.29375,0.0,top
SW1,136.91,-76.35875,0.0,top
SW2,98.81,-76.35875,0.0,top
SW3,60.71,-76.35875,0.0,top
U1,73.65125,-52.54625,90.0,top
