BOM for FlazeMIDI,,,,,
S.No,Name Of Part,Link,Price per item(W/o Shipping),Quantity,Total Cost Of Item(W/O Shipping)
1,Raspberry pi pico,https://robu.in/product/raspberry-pi-pico-with-headers/,499.00 INR,1,499.00 INR
2,1N4148 diodes(pack of 50),https://www.amazon.in/gp/product/B0B53NV1QC/ref=ox_sc_act_title_1?smid=A3OFZYSBUU01KL&psc=1,99.00 INR,1,99.00 INR
3,Switches(pack of 10),https://stackskb.com/store/click-inc-hp-switch-pack-of-10-pre-order/,180.00 INR,3,540.00 INR
4,EC11 Rotary Encoders(pack of 5),https://stackskb.com/store/click-inc-hp-switch-pack-of-10-pre-order/,696.00 INR,1,696.00 INR
5,Keycaps(pack of 5),https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/blank-dsa-keycaps-1u/,95.00 INR,5,475.00 INR
6,PCB Fabrication,jlcpcb.com,976.96 INR,1,976.96 INR
7,PCB Shipping,jlcpcb.com,"1,091.73 INR",1,"1,091.73 INR"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,"Total INR(only including 
Shipping for pcb)","4,377.69 INR"
,,,,Total USD,$48.15
